Id_sensora,Id_stacji,longitude,latitude,parametr,wartosc,data_pomiaru
3023,437,19.830422,49.971047,PM10,10.7665,2024-01-05_15:00:00
3058,443,21.116833,49.633714,SO2,4.34688,2024-01-05_16:00:00
21453,443,21.116833,49.633714,PM10,10.2931,2024-01-05_15:00:00
3127,449,19.477464,50.159406,SO2,4.53973,2024-01-05_16:00:00
3123,449,19.477464,50.159406,PM10,14.4251,2024-01-05_15:00:00
27834,16894,20.034878,49.476675,SO2,6.4774,2024-01-05_16:00:00
27835,16894,20.034878,49.476675,PM10,14.8752,2024-01-05_15:00:00
20411,10955,20.906073,52.207742,SO2,3.0,2024-01-05_17:00:00
18200,10955,20.906073,52.207742,PM10,9.2,2024-01-05_17:00:00
18201,10955,20.906073,52.207742,PM2.5,7.0,2024-01-05_17:00:00
3418,497,19.687672,52.556279,SO2,1.76,2024-01-05_16:00:00
3434,501,19.709791,52.550938,SO2,6.3,2024-01-05_17:00:00
3429,501,19.709791,52.550938,PM10,20.2,2024-01-05_17:00:00
14376,501,19.709791,52.550938,PM2.5,12.6,2024-01-05_17:00:00
3502,515,21.147474,51.399084,SO2,4.3,2024-01-05_17:00:00
3497,515,21.147474,51.399084,PM10,31.9,2024-01-05_17:00:00
14377,515,21.147474,51.399084,PM2.5,22.7,2024-01-05_17:00:00
3205,460,20.791912,51.835242,SO2,0.359675,2024-01-05_17:00:00
3204,460,20.791912,51.835242,PM10,6.81,2024-01-05_17:00:00
16051,485,21.237297,52.115725,SO2,6.4,2024-01-05_17:00:00
17225,485,21.237297,52.115725,PM10,23.4,2024-01-05_17:00:00
16044,485,21.237297,52.115725,PM2.5,20.4,2024-01-05_17:00:00
28895,9798,17.591539,53.136681,SO2,0.2,2024-01-05_08:00:00
25983,9798,17.591539,53.136681,PM10,36.6,2024-01-05_17:00:00
25984,9798,17.591539,53.136681,PM2.5,30.0,2024-01-05_17:00:00
1902,266,22.569133,51.259431,SO2,5.5,2024-01-05_16:00:00
1900,266,22.569133,51.259431,PM10,11.3,2024-01-05_16:00:00
16472,266,22.569133,51.259431,PM2.5,7.8,2024-01-05_16:00:00
14348,236,23.149389,52.029194,SO2,6.75,2024-01-05_17:00:00
20419,236,23.149389,52.029194,PM10,23.99,2024-01-05_17:00:00
2008,285,23.290247,50.716628,SO2,3.7,2024-01-05_17:00:00
16744,285,23.290247,50.716628,PM10,28.4,2024-01-05_17:00:00
26316,285,23.290247,50.716628,PM2.5,22.8,2024-01-05_17:00:00
18041,10874,22.982861,50.551894,SO2,1.91736,2024-01-05_17:00:00
2425,361,15.228667,52.738214,SO2,7.59356,2024-01-05_17:00:00
2421,361,15.228667,52.738214,PM10,8.2521,2024-01-05_17:00:00
26165,361,15.228667,52.738214,PM2.5,7.83666,2024-01-05_17:00:00
2668,387,15.518861,51.939783,SO2,12.8754,2024-01-05_17:00:00
14428,387,15.518861,51.939783,PM10,12.7736,2024-01-05_16:00:00
2664,387,15.518861,51.939783,PM2.5,7.62271,2024-01-05_16:00:00
2510,374,15.206667,52.172222,SO2,2.15673,2024-01-05_17:00:00
2566,379,16.317500,51.799722,SO2,14.2591,2024-01-05_17:00:00
2563,379,16.317500,51.799722,PM10,17.5002,2024-01-05_17:00:00
19721,379,16.317500,51.799722,PM2.5,13.6527,2024-01-05_17:00:00
2601,382,15.127808,51.642656,SO2,6.87167,2024-01-05_17:00:00
14618,382,15.127808,51.642656,PM10,15.8978,2024-01-05_16:00:00
20221,382,15.127808,51.642656,PM2.5,6.6563,2024-01-05_16:00:00
1409,206,18.666103,53.028647,SO2,3.1,2024-01-05_17:00:00
1405,206,18.666103,53.028647,PM10,7.1,2024-01-05_17:00:00
21264,9791,19.044486,52.637394,SO2,3.9,2024-01-05_17:00:00
20302,9791,19.044486,52.637394,PM10,5.8,2024-01-05_17:00:00
1650,232,17.934017,53.662117,SO2,0.2,2024-01-05_17:00:00
26305,11336,16.211672,54.194114,SO2,1.88275,2024-01-05_17:00:00
6218,961,14.382245,53.122325,SO2,2.60461,2024-01-05_17:00:00
6324,983,16.704556,53.698902,SO2,3.55806,2024-01-05_17:00:00
6322,983,16.704556,53.698902,PM10,7.81595,2024-01-05_17:00:00
